Email,Name,Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course,Placement(Y/N)?,Required job role ,
vikram_roy16@gmail.com,Vikram Roy,Male,State Board,77.6,WBCHSE,80.9,Information Technology,7.74,No,No,0,Yes,3,3,Placed,Cloud Engineer,
anisha_modi58@gmail.com,Anisha Modi,Female,CBSE,71,ISE,67.1,Computer Science ,8.48,Yes,Yes,0,Yes,3,4,Placed,Full Stack Developer,
ayush_singh43@gmail.com,Ayush Singh,Male,CBSE,94.1,CBSE,66.4,Cyber Security Engineer,7.05,No,Yes,0,Yes,2,2,Not Placed,Cyber Security Analyst,
shreya_banerjee81@gmail.com,Shreya Banerjee,Female,ICSE,72.1,CBSE,70.2,Artificial Intelligence and Machine Learning,7.16,No,No,1,Yes,2,4,Not Placed,Data Analyst,
vidya_mishra44@gmail.com,Vidya Mishra,Female,ICSE,82.6,WBCHSE,67.3,Artificial Intelligence and Data Science,7.95,Yes,Yes,0,Yes,3,3,Placed,Data Analyst,
abhijit_ganguly66@gmail.com,Abhijit Ganguly,Male,WBBSE,71.9,WBCHSE,67.4,Artificial Intelligence and  Machine Learning,7.88,No,No,0,Yes,1,3,Not Placed,Data Analyst,
vidya_iyer45@gmail.com,Vidya Iyer,Female,CBSE,80.5,ISE,74.2,Artificial Intelligence and Data Science,8.86,Yes,Yes,0,Yes,2,1,Not Placed,Data Analyst,
ayesha_banerjee57@gmail.com,Ayesha Banerjee,Female,State Board,87.2,WBCHSE,80.4,Information Technology,7.65,Yes,Yes,0,No,4,1,Placed,Cloud Engineer,
ayushi_mazumdar6@gmail.com,Ayushi Mazumdar,Female,CBSE,70.3,Other state Board,79,Artificial Intelligence and Machine Learning,9.34,Yes,Yes,0,Yes,2,1,Not Placed,Machine Learning Engineer,
anupam_pal96@gmail.com,Anupam Pal,Male,State Board,75.2,WBCHSE,82.5,Information Technology,8.52,No,No,0,No,5,2,Placed,Cloud Engineer,
suvankar_bhowmick11@gmail.com,Suvankar Bhowmick,Male,State Board,78.9,ISE,91.2,Artificial Intelligence and Data Science,8.65,No,Yes,0,Yes,1,3,Placed,Business Analyst,
madhuri_agarwal98@gmail.com,Madhuri Agarwal,Female,WBBSE,86.3,Other state Board,62.6,Computer Science ,7.1,No,Yes,0,Yes,1,2,Not Placed,Full Stack Developer,
suhana_mukherjee68@gmail.com,Suhana Mukherjee,Female,State Board,96.9,CBSE,89.8,Artificial Intelligence and Data Science,7.09,Yes,Yes,1,Yes,3,3,Not Placed,Data Analyst,
bharat_mahto54@gmail.com,Bharat Mahto,Male,ICSE,75.9,CBSE,85.4,Cyber Security Engineer,7.64,No,Yes,0,Yes,4,2,Placed,Cyber Security Analyst,
jaya_singhania91@gmail.com,Jaya Singhania,Female,CBSE,99.6,ISE,81.7,Computer Science ,8.57,Yes,No,0,No,3,2,Placed,Full Stack Developer,
anupama_sinha15@gmail.com,Anupama Sinha,Female,CBSE,95,CBSE,92.5,Computer Science,7.69,Yes,Yes,0,No,5,1,Placed,Software Developer,
piyali_dutta68@gmail.com,Piyali Dutta,Female,CBSE,72,CBSE,65.1,Artificial Intelligence and Machine Learning,7.57,No,Yes,0,Yes,1,2,Not Placed,Data Analyst,
piyali_chakraborty49@gmail.com,Piyali Chakraborty,Female,ICSE,88.6,WBCHSE,73.2,Cyber Security Engineer,9.23,Yes,Yes,0,Yes,3,1,Not Placed,Cyber Security Analyst,
gopal_mahto11@gmail.com,Gopal Mahto,Male,CBSE,80.7,Other state Board,76.1,Artificial Intelligence And Machine Learning,9.51,Yes,No,0,Yes,1,2,Not Placed,AI Engineer,
amateurz.media@gmail.com,Siddharth,Male,CBSE,95,CBSE,90,Artificial Intelligence and Data Science,8.15,Yes,No,1,Yes,4,1,Not Placed,Business Analyst,
vidya_shukla46@gmail.com,Vidya Shukla,Female,State Board,92,Other state Board,67.4,Information Technology,9.35,No,Yes,0,Yes,2,3,Not Placed,Cloud Engineer,
vikas_dev23@gmail.com,Vikas Dev,Male,ICSE,84.4,Other state Board,87.6,Cyber Security Engineer,8.58,Yes,No,0,Yes,3,2,Placed,Cyber Security Analyst,
arnab_sengupta45@gmail.com,Arnab Sengupta,Male,WBBSE,86.6,WBCHSE,84.4,Artificial Intelligence and Data Science,7.13,No,No,1,Yes,3,3,Not Placed,Data Analyst,
rahul.2002.dey@gmail.com,Rahul Dey,Male,CBSE,96.4,CBSE,97,Artificial Intelligence and Data Science,8.91,No,Yes,0,No,3,1,Not Placed,Data Analyst,
ishika_patel12@gmail.com,Ishika Patel,Female,ICSE,76.1,Other state Board,60.4,Artificial Intelligence and  Machine Learning,8.94,Yes,No,0,Yes,1,3,Placed,Data Analyst,
nikhil_das17@gmail.com,Nikhil Das,Male,CBSE,75.6,Other state Board,93.8,Artificial Intelligence and Data Science,8.99,Yes,No,0,Yes,4,3,Placed,Data Analyst,
pranab_mazumdar37@gmail.com,Pranab Mazumdar,Male,WBBSE,99.9,CBSE,86.9,Information Technology,7.6,No,Yes,1,Yes,4,3,Not Placed,Cloud Engineer,
shubhamsri28101999@gmail.com,Shubham Kumar Srivastava,Male,CBSE,75,CBSE,48,Artificial Intelligence and Machine Learning,5.75,No,No,4,No,3,1,Not Placed,Machine Learning Engineer,
nayana_ghosh91@gmail.com,Nayana Ghosh,Female,State Board,79.6,WBCHSE,61.7,Computer Science,7.92,No,Yes,1,Yes,4,3,Not Placed,Software Developer,
sunil_sinha25@gmail.com,Sunil Sinha,Male,State Board,91.1,ISE,74.2,Artificial Intelligence and Data Science,8.37,No,No,0,Yes,2,2,Not Placed,Data Analyst,
piyali_bhat42@gmail.com,Piyali Bhat,Female,CBSE,86.4,ISE,85.1,Cyber Security Engineer,9.56,No,No,0,Yes,3,1,Not Placed,Cyber Security Analyst,
sanjana_mazumdar9@gmail.com,Sanjana Mazumdar,Female,State Board,70.4,ISE,87.2,Artificial Intelligence and Data Science,9.35,No,No,0,Yes,1,4,Placed,Data Analyst,
arnav_bhattacharya14@gmail.com,Arnav Bhattacharya,Male,ICSE,86.7,Other state Board,93,Computer Science,7.45,Yes,Yes,0,Yes,1,3,Placed,Cloud Engineer,
diya_kapoor58@gmail.com,Diya Kapoor,Female,CBSE,72.2,CBSE,74.8,Artificial Intelligence and Machine Learning,8.02,Yes,Yes,0,Yes,2,4,Placed,Machine Learning Engineer,
vinayak12031521026@gmail.com,Vinayak kumar,Male,CBSE,75,CBSE,68,Artificial Intelligence and Machine Learning,8.2,Yes,No,0,Yes,4,4,Placed,Machine Learning Engineer,
mahii828113@gmail.com,Mahenoor Ahsan,Female,CBSE,95,CBSE,86.4,Artificial Intelligence And Machine Learning,9.46,Yes,Yes,0,Yes,3,1,Not Placed,AI Engineer,
aishwarya_kar82@gmail.com,Aishwarya Kar,Female,State Board,88.1,ISE,60.2,Information Technology,8.61,No,No,0,Yes,2,4,Placed,Cloud Engineer,
anisha_jha88@gmail.com,Anisha Jha,Female,ICSE,94.3,ISE,72.3,Artificial Intelligence and Data Science,8.53,No,Yes,0,Yes,2,3,Placed,Data Analyst,
mishraravikishan950@gmail.com,Ravi kishan mishra,Male,WBBSE,85,WBCHSE,87,Artificial Intelligence and  Machine Learning,9.3,No,Yes,0,Yes,3,3,Placed,Data Analyst,
indrajit_mazumdar31@gmail.com,Indrajit Mazumdar,Male,ICSE,82.8,ISE,87.2,Information Technology,8.49,No,Yes,0,No,4,2,Placed,Cloud Engineer,
panthapatim@gmail.com,PANTHA PATIM BHATTACHARYA,Male,WBBSE,64,WBCHSE,68,Cyber Security Engineer,7.5,No,Yes,1,Yes,4,3,Not Placed,Cyber Security Analyst,
ishani_singh44@gmail.com,Ishani Singh,Female,ICSE,94,ISE,87.2,Artificial Intelligence and Data Science,9.31,Yes,No,0,Yes,5,3,Placed,Data Analyst,
aishwarya_mukherjee12@gmail.com,Aishwarya Mukherjee,Female,WBBSE,71.8,WBCHSE,93.3,Artificial Intelligence and Data Science,9.01,Yes,No,0,No,2,3,Placed,Data Analyst,
nikhil_kumar94@gmail.com,Nikhil Kumar,Male,State Board,76,CBSE,60.3,Artificial Intelligence and Data Science,7.84,No,No,0,Yes,1,1,Not Placed,Business Analyst,
bikram_sarkar25@gmail.com,Bikram Sarkar,Male,State Board,72.2,CBSE,77,Information Technology,8.27,Yes,Yes,0,Yes,3,2,Placed,Cloud Engineer,
trisha_singhania81@gmail.com,Trisha Singhania,Female,ICSE,96.5,ISE,86.8,Artificial Intelligence and Data Science,9.29,No,Yes,0,Yes,3,3,Placed,Data Analyst,
indira_iyer26@gmail.com,Indira Iyer,Female,WBBSE,86.9,Other state Board,87.4,Artificial Intelligence and Data Science,9.02,No,Yes,0,Yes,4,2,Placed,Data Analyst,
ishika_sarkar75@gmail.com,Ishika Sarkar,Female,ICSE,82.4,Other state Board,88.6,Information Technology,9.26,Yes,No,0,No,1,2,Not Placed,Cloud Engineer,
arjun_pathak34@gmail.com,Arjun Pathak,Male,ICSE,74.9,Other state Board,81.5,Computer Science ,7.32,Yes,No,1,Yes,5,3,Not Placed,Full Stack Developer,
soma_singhania43@gmail.com,Soma Singhania,Female,WBBSE,75,Other state Board,81.1,Computer Science,8.84,Yes,No,0,No,2,1,Not Placed,Software Developer,
ishika_rajput89@gmail.com,Ishika Rajput,Female,CBSE,87.4,CBSE,81.6,Information Technology,7.03,No,Yes,1,Yes,2,2,Not Placed,Cloud Engineer,
tithi_bera57@gmail.com,Tithi Bera,Female,CBSE,73.9,CBSE,63.9,Artificial Intelligence and Data Science,7.92,Yes,No,0,Yes,4,1,Placed,Data Analyst,
suvankar_choudhury10@gmail.com,Suvankar Choudhury,Male,WBBSE,82.1,ISE,72.1,Cyber Security Engineer,8.11,Yes,No,0,Yes,4,3,Placed,Cyber Security Analyst,
mukesh_singh99@gmail.com,Mukesh Singh,Male,ICSE,70.1,Other state Board,74.7,Information Technology,8.46,Yes,Yes,0,No,1,3,Not Placed,Cloud Engineer,
nayanika_kumari75@gmail.com,Nayanika Kumari,Female,State Board,82.7,ISE,92.2,Computer Science ,9.38,Yes,No,0,Yes,2,4,Placed,Full Stack Developer,
nisha_rao77@gmail.com,Nisha Rao,Female,ICSE,81.9,WBCHSE,84.5,Computer Science,8.34,Yes,Yes,0,No,1,3,Placed,Machine Learning Engineer,
kavya_chauhan93@gmail.com,Kavya Chauhan,Female,CBSE,88.7,ISE,65.9,Artificial Intelligence and Data Science,7.15,No,No,1,Yes,5,1,Not Placed,Data Analyst,
raginigupta523@gmail.com,Ragini Gupta,Female,CBSE,93.5,Other state Board,69.8,Cyber Security Engineer,8.8,Yes,No,0,Yes,3,2,Placed,Cyber Security Analyst,
soma_mandal55@gmail.com,Soma Mandal,Female,CBSE,98.9,CBSE,94.1,Artificial Intelligence and Machine Learning,9.3,Yes,No,0,No,5,3,Placed,Machine Learning Engineer,
suvankar_banerjee38@gmail.com,Suvankar Banerjee,Male,ICSE,77.4,ISE,67.1,Computer Science,8.95,No,Yes,0,No,5,3,Placed,Machine Learning Engineer,
dev_dey63@gmail.com,Dev Dey,Male,State Board,94.6,CBSE,88.3,Cyber Security Engineer,7.44,Yes,No,0,Yes,1,2,Not Placed,Cyber Security Analyst,
dev_bhowmick64@gmail.com,Dev Bhowmick,Male,CBSE,82.3,ISE,65.9,Artificial Intelligence and Data Science,7.78,No,Yes,1,Yes,4,2,Not Placed,Data Analyst,
ananya_modi37@gmail.com,Ananya Modi,Female,CBSE,85.6,WBCHSE,68.2,Artificial Intelligence And Machine Learning,9.2,Yes,Yes,0,No,4,1,Not Placed,AI Engineer,
debika_bhattacharya89@gmail.com,Debika Bhattacharya,Female,WBBSE,88.2,ISE,71.5,Artificial Intelligence and Data Science,9.1,Yes,Yes,0,Yes,5,4,Placed,Data Analyst,
piyali_chatterjee88@gmail.com,Piyali Chatterjee,Female,WBBSE,96.8,Other state Board,94.9,Computer Science ,7.82,Yes,No,0,No,2,2,Placed,Full Stack Developer,
tanushree_sharma2@gmail.com,Tanushree Sharma,Female,CBSE,86.7,Other state Board,63.9,Information Technology,7.29,Yes,Yes,0,Yes,2,2,Placed,Cloud Engineer,
susmita_dey53@gmail.com,Susmita Dey,Female,ICSE,72.6,WBCHSE,91.6,Artificial Intelligence And Machine Learning,8.84,Yes,Yes,0,No,2,1,Not Placed,AI Engineer,
ishika_dutta71@gmail.com,Ishika Dutta,Female,ICSE,94.7,Other state Board,87.3,Artificial Intelligence and Data Science,7.67,Yes,No,0,No,2,2,Placed,Data Analyst,
amit_mahto68@gmail.com,Amit Mahto,Male,ICSE,99.6,Other state Board,94,Information Technology,7.18,No,Yes,0,Yes,5,2,Placed,Cloud Engineer,
sunidhi_jha16@gmail.com,Sunidhi Jha,Female,WBBSE,81.4,ISE,68.1,Artificial Intelligence and Data Science,7.57,Yes,Yes,1,Yes,2,2,Not Placed,Data Analyst,
rajesh_rana71@gmail.com,Rajesh Rana,Male,ICSE,77.7,CBSE,79.2,Artificial Intelligence and Data Science,7.15,No,No,1,No,5,2,Not Placed,Data Analyst,
debjit_pal41@gmail.com,Debjit Pal,Male,WBBSE,80.2,Other state Board,91.8,Artificial Intelligence And Machine Learning,8.97,Yes,No,0,Yes,5,3,Placed,AI Engineer,
khusi_kar6@gmail.com,Khusi Kar,Female,WBBSE,89.6,WBCHSE,78,Artificial Intelligence and Data Science,8.57,Yes,Yes,0,Yes,1,3,Placed,Business Analyst,
anupama_singh46@gmail.com,Anupama Singh,Female,CBSE,71.4,ISE,92.3,Artificial Intelligence And Machine Learning,7.42,No,No,0,Yes,4,1,Placed,AI Engineer,
krishanuroy733@gmail.com,Krishanu Roy,Male,ICSE,87,CBSE,75,Cyber Security Engineer,9.47,Yes,Yes,0,Yes,3,2,Placed,Cyber Security Analyst,
trisha_mishra98@gmail.com,Trisha Mishra,Female,State Board,84.7,WBCHSE,84.4,Artificial Intelligence and Data Science,7.25,No,Yes,0,No,1,2,Not Placed,Data Analyst,
debjit_biswas73@gmail.com,Debjit Biswas,Male,WBBSE,72,CBSE,64.4,Artificial Intelligence and  Machine Learning,8.33,Yes,Yes,0,Yes,5,3,Placed,Data Analyst,
subhash_mukherjee57@gmail.com,Subhash Mukherjee,Male,ICSE,74.8,ISE,83.9,Artificial Intelligence and Data Science,9.17,Yes,Yes,0,Yes,2,3,Placed,Data Analyst,
anupamnandi777@gmail.com,Anupam Nandi,Male,WBBSE,70,WBCHSE,78,Artificial Intelligence and Machine Learning,8.9,Yes,No,0,Yes,2,4,Placed,Machine Learning Engineer,
soma_kapoor10@gmail.com,Soma Kapoor,Female,WBBSE,75.9,WBCHSE,85.2,Information Technology,8.43,No,Yes,0,Yes,1,4,Placed,Cloud Engineer,
anupama_mazumdar80@gmail.com,Anupama Mazumdar,Female,State Board,72.4,CBSE,67.6,Artificial Intelligence and Data Science,8.12,No,No,0,Yes,4,3,Placed,Business Analyst,
indira_pal59@gmail.com,Indira Pal,Female,WBBSE,96.2,CBSE,60.1,Artificial Intelligence and Data Science,7.49,No,Yes,0,Yes,1,3,Placed,Data Analyst,
yjanardhanreddy111@gmail.com,Yeddula Janardhan Reddy,Male,State Board,93,Other state Board,92,Information Technology,90,Yes,No,0,No,3,1,Not Placed,Cloud Engineer,
ankit_choudhary86@gmail.com,Ankit Choudhary,Male,State Board,70,ISE,94.8,Artificial Intelligence and Data Science,9.48,Yes,No,0,Yes,5,3,Placed,Data Analyst,
jaya_pandey78@gmail.com,Jaya Pandey,Female,ICSE,75.6,WBCHSE,68.9,Information Technology,8.95,No,No,0,Yes,3,1,Not Placed,Cloud Engineer,
tapasgarai739@gmail.com,Tapas Garai,Male,WBBSE,60,WBCHSE,69,Computer Science,9,No,No,0,No,3,3,Placed,Software Developer,
kaushik_mukherjee31@gmail.com,Kaushik Mukherjee,Male,CBSE,85.3,Other state Board,72.8,Computer Science,8.85,Yes,Yes,0,Yes,2,4,Placed,Cloud Engineer,
piyali_bhattacharya78@gmail.com,Piyali Bhattacharya,Female,ICSE,89.2,CBSE,82.7,Computer Science,9.37,Yes,No,0,Yes,1,4,Placed,Software Developer,
smita_shukla34@gmail.com,Smita Shukla,Female,WBBSE,94.9,WBCHSE,84.7,Artificial Intelligence and Data Science,8.59,No,No,0,Yes,3,1,Not Placed,Data Analyst,
joy_ghosh41@gmail.com,Joy Ghosh,Male,CBSE,87,CBSE,87.8,Artificial Intelligence and Data Science,8.15,Yes,No,0,Yes,4,2,Placed,Data Analyst,
kavya_biswas89@gmail.com,Kavya Biswas,Female,CBSE,98.7,CBSE,60.9,Information Technology,7.19,Yes,No,1,Yes,4,3,Not Placed,Cloud Engineer,
saurabh_choudhary98@gmail.com,Saurabh Choudhary,Male,CBSE,84.6,ISE,79.1,Artificial Intelligence and Data Science,9.44,No,No,0,Yes,1,4,Placed,Data Analyst,
shubham_choudhary62@gmail.com,Shubham Choudhary,Male,State Board,80.4,CBSE,65.6,Information Technology,7.97,No,No,0,Yes,4,3,Placed,Cloud Engineer,
arnav_pal91@gmail.com,Arnav Pal,Male,State Board,80.3,WBCHSE,74.9,Information Technology,9.12,Yes,No,0,Yes,4,2,Placed,Cloud Engineer,
riya_mitra24@gmail.com,Riya Mitra,Female,ICSE,95.4,Other state Board,65.8,Artificial Intelligence and Data Science,7.42,No,Yes,0,Yes,4,1,Not Placed,Data Analyst,
aparna_srivastava87@gmail.com,Aparna Srivastava,Female,State Board,87.5,Other state Board,78.9,Artificial Intelligence and Data Science,8.46,No,No,0,No,4,2,Placed,Business Analyst,
ujjal_mitra69@gmail.com,Ujjal Mitra,Male,ICSE,91.8,WBCHSE,89.5,Information Technology,8.47,Yes,No,0,Yes,2,3,Placed,Cloud Engineer,
riya_banerjee31@gmail.com,Riya Banerjee,Female,ICSE,95.4,WBCHSE,93,Artificial Intelligence and Data Science,8.58,No,Yes,0,Yes,2,4,Placed,Data Analyst,
rakesh_thakur16@gmail.com,Rakesh Thakur,Male,State Board,96.4,ISE,83,Artificial Intelligence and  Machine Learning,7.17,Yes,No,1,Yes,1,3,Not Placed,Data Analyst,
meyenka_verma92@gmail.com,Meyenka Verma,Female,State Board,79.6,CBSE,87.4,Information Technology,8.54,No,Yes,0,Yes,1,2,Not Placed,Cloud Engineer,
shreya_mahato48@gmail.com,Shreya Mahato,Female,State Board,100,WBCHSE,93.1,Information Technology,8.34,No,No,0,Yes,4,4,Placed,Cloud Engineer,
nayana_gupta76@gmail.com,Nayana Gupta,Female,WBBSE,70.5,CBSE,82.9,Information Technology,9.32,Yes,Yes,0,Yes,2,3,Placed,Cloud Engineer,
ghoshsubham778@gmail.com,Subham Ghosh,Male,WBBSE,70,WBBSE,80,Artificial Intelligence And Machine Learning,9.1,No,Yes,0,Yes,3,3,Placed,AI Engineer,
rohan_chatterjee73@gmail.com,Rohan Chatterjee,Male,State Board,86.8,CBSE,64.6,Information Technology,9,Yes,Yes,0,Yes,1,3,Not Placed,Cloud Engineer,
gopal_das52@gmail.com,Gopal Das,Male,ICSE,91.4,ISE,92.2,Artificial Intelligence And Machine Learning,7.96,Yes,No,1,Yes,4,4,Not Placed,AI Engineer,
rahul_mandal28@gmail.com,Rahul Mandal,Male,CBSE,70.4,ISE,89.3,Artificial Intelligence and  Machine Learning,9.48,No,No,0,Yes,2,3,Placed,Data Analyst,
anand_mahto91@gmail.com,Anand Mahto,Male,State Board,78.6,CBSE,83.9,Artificial Intelligence and Data Science,7.99,No,Yes,0,Yes,2,2,Not Placed,Data Analyst,
debanshu_ganguly14@gmail.com,Debanshu Ganguly,Male,WBBSE,90.5,WBCHSE,61,Information Technology,9.39,Yes,Yes,0,Yes,4,3,Placed,Cloud Engineer,
debika_choudhary46@gmail.com,Debika Choudhary,Female,CBSE,91.8,Other state Board,78.7,Computer Science,7.62,Yes,Yes,0,Yes,1,3,Not Placed,Machine Learning Engineer,
samik_mahato28@gmail.com,Samik Mahato,Male,WBBSE,91.9,WBCHSE,79.9,Artificial Intelligence And Machine Learning,7.13,No,Yes,1,Yes,5,4,Not Placed,AI Engineer,
ankita_bhuiyan57@gmail.com,Ankita Bhuiyan,Female,WBBSE,74.1,Other state Board,67.8,Cyber Security Engineer,7.16,No,No,1,Yes,4,4,Not Placed,Cyber Security Analyst,
jaya_mazumdar74@gmail.com,Jaya Mazumdar,Female,ICSE,96.7,WBCHSE,75.7,Artificial Intelligence and Machine Learning,8.88,Yes,Yes,0,Yes,3,3,Placed,Machine Learning Engineer,
tanushree_chatterjee8@gmail.com,Tanushree Chatterjee,Female,CBSE,81.2,Other state Board,74.7,Cyber Security Engineer,7.09,No,Yes,3,No,3,2,Not Placed,Cyber Security Analyst,
tanushree_ganguly17@gmail.com,Tanushree Ganguly,Female,State Board,80.2,WBCHSE,94.3,Information Technology,8.8,No,No,1,Yes,5,1,Not Placed,Cloud Engineer,
ritika_pandey5@gmail.com,Ritika Pandey,Female,CBSE,99.5,CBSE,90.1,Artificial Intelligence and Data Science,7.37,No,No,0,Yes,1,3,Not Placed,Business Analyst,
